date,division,index,division_name,summary
2021-02-01,02,,Alcoholic Beverages & Tobacco,"On 2021-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-03-01,02,,Alcoholic Beverages & Tobacco,"On 2021-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-04-01,02,,Alcoholic Beverages & Tobacco,"On 2021-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-05-01,02,,Alcoholic Beverages & Tobacco,"On 2021-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-06-01,02,,Alcoholic Beverages & Tobacco,"On 2021-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-07-01,02,,Alcoholic Beverages & Tobacco,"On 2021-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-08-01,02,,Alcoholic Beverages & Tobacco,"On 2021-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-09-01,02,,Alcoholic Beverages & Tobacco,"On 2021-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-10-01,02,,Alcoholic Beverages & Tobacco,"On 2021-10-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-11-01,02,,Alcoholic Beverages & Tobacco,"On 2021-11-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-12-01,02,,Alcoholic Beverages & Tobacco,"On 2021-12-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-01-01,02,,Alcoholic Beverages & Tobacco,"On 2022-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-02-01,02,,Alcoholic Beverages & Tobacco,"On 2022-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-03-01,02,,Alcoholic Beverages & Tobacco,"On 2022-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-04-01,02,,Alcoholic Beverages & Tobacco,"On 2022-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-05-01,02,,Alcoholic Beverages & Tobacco,"On 2022-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-06-01,02,,Alcoholic Beverages & Tobacco,"On 2022-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-07-01,02,,Alcoholic Beverages & Tobacco,"On 2022-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-08-01,02,,Alcoholic Beverages & Tobacco,"On 2022-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-09-01,02,,Alcoholic Beverages & Tobacco,"On 2022-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-10-01,02,,Alcoholic Beverages & Tobacco,"On 2022-10-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-11-01,02,,Alcoholic Beverages & Tobacco,"On 2022-11-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2022-12-01,02,,Alcoholic Beverages & Tobacco,"On 2022-12-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-01-01,02,,Alcoholic Beverages & Tobacco,"On 2023-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-02-01,02,,Alcoholic Beverages & Tobacco,"On 2023-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-03-01,02,,Alcoholic Beverages & Tobacco,"On 2023-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-04-01,02,,Alcoholic Beverages & Tobacco,"On 2023-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-05-01,02,,Alcoholic Beverages & Tobacco,"On 2023-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-06-01,02,,Alcoholic Beverages & Tobacco,"On 2023-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-07-01,02,,Alcoholic Beverages & Tobacco,"On 2023-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-08-01,02,,Alcoholic Beverages & Tobacco,"On 2023-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2023-09-01,02,,Alcoholic Beverages & Tobacco,"On 2023-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
